="%  4 May 2023 11:15:02"
="Appendix Table 4 - Panel 1 - Agency level"
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-76.03***",="-29.07",="-25.35",="4.48"
="",="(13.75)",="(19.02)",="(34.58)",="(12.07)"
="RML*Black",="-204.39**",="230.19",="-51.44",="-10.83"
="",="(87.89)",="(199.68)",="(81.20)",="(91.02)"
="Pre-treat DV mean (White)",="139.46",="526.08",="499.80",="299.06"
="Pre-treat DV mean (Black)",="570.55",="1480.54",="1347.71",="1183.68"
="N",="28026",="28026",="28026",="28026"

="%  4 May 2023 11:15:22"
="Appendix Table 4 - Panel 2 - Poisson [unweighted; agency-year]"
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-1.520***",="-0.139**",="-0.009",="0.020"
="",="(0.320)",="(0.056)",="(0.057)",="(0.058)"
="RML*Black",="-0.295",="0.097",="-0.019",="-0.008"
="",="(0.315)",="(0.074)",="(0.033)",="(0.050)"
="Pre-treat DV mean (White)",="111.19",="418.56",="398.67",="238.06"
="Pre-treat DV mean (Black)",="51.88",="134.61",="122.58",="107.63"
="N",="27986",="27986",="28026",="28006"

="%  4 May 2023 11:15:23"
="Appendix Table 4 - Panel 3 - Unweighted"
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-120.53***",="-48.02**",="-7.99",="0.24"
="",="(22.62)",="(18.77)",="(26.06)",="(7.64)"
="RML*Black",="-203.91**",="-164.36",="-75.91",="33.67"
="",="(100.06)",="(118.15)",="(77.77)",="(37.31)"
="Pre-treat DV mean (White)",="164.09",="220.45",="405.54",="141.40"
="Pre-treat DV mean (Black)",="528.77",="987.39",="1343.11",="736.19"
="N",="1996",="1996",="1996",="1996"

