="%  4 May 2023 11:14:45"
="Table 2"
="",="(1)",="(2)",="(3)"
="",="All Marijuana Arrests",="Marijuana Possession Arrests",="Marijuana Sales Arrests"
="RML",="-115.23***",="-105.93***",="-9.30***"
="",="(17.52)",="(17.18)",="(3.46)"
="RML*Black",="-209.92**",="-177.08*",="-32.84**"
="",="(98.10)",="(89.34)",="(15.43)"
="Pre-treat DV mean (White)",="158.32",="132.31",="26.00"
="Pre-treat DV mean (Black)",="492.25",="363.44",="128.81"
="N",="1996",="1996",="1996"

="%  4 May 2023 11:14:45"
="Table 2 - log arrest rate"
="",="(1)",="(2)",="(3)"
="",="All Marijuana Arrests",="Marijuana Possession Arrests",="Marijuana Sales Arrests"
="RML",="-1.701***",="-1.702***",="-1.165***"
="",="(0.255)",="(0.333)",="(0.259)"
="RML*Black",="0.037",="-0.028",="0.151"
="",="(0.238)",="(0.270)",="(0.258)"
="Pre-treat DV mean (White)",="158.32",="132.31",="26.00"
="Pre-treat DV mean (Black)",="492.25",="363.44",="128.81"
="N",="1982",="1982",="1943"

