="%  4 May 2023 11:14:47"
="Table 4 - heroin_coke "
="",="(1)",="(2)",="(3)"
="",="All Arrests",="Possession Arrests",="Sales Arrests"
="RML",="2.20",="1.74",="0.47"
="",="(8.23)",="(7.77)",="(2.30)"
="RML*Black",="112.77",="68.59",="44.18"
="",="(84.38)",="(58.47)",="(34.72)"
="Pre-treat DV mean (White)",="187.59",="162.35",="25.25"
="Pre-treat DV mean (Black)",="729.01",="476.78",="252.23"
="N",="1996",="1996",="1996"

="%  4 May 2023 11:14:47"
="Table 4 - synth_narc "
="",="(1)",="(2)",="(3)"
="",="All Arrests",="Possession Arrests",="Sales Arrests"
="RML",="-24.29***",="-19.77***",="-4.51*"
="",="(8.74)",="(6.42)",="(2.58)"
="RML*Black",="4.18",="3.64",="0.54"
="",="(4.77)",="(3.62)",="(1.84)"
="Pre-treat DV mean (White)",="18.07",="14.21",="3.86"
="Pre-treat DV mean (Black)",="19.99",="14.79",="5.20"
="N",="1996",="1996",="1996"

="%  4 May 2023 11:14:47"
="Table 4 - other_drug "
="",="(1)",="(2)",="(3)"
="",="All Arrests",="Possession Arrests",="Sales Arrests"
="RML",="-11.72",="-5.15",="-6.57***"
="",="(11.12)",="(10.49)",="(2.01)"
="RML*Black",="-18.50",="-4.54",="-13.97"
="",="(42.08)",="(36.47)",="(9.70)"
="Pre-treat DV mean (White)",="243.22",="207.44",="35.78"
="Pre-treat DV mean (Black)",="386.90",="328.90",="58.00"
="N",="1996",="1996",="1996"

