="% 22 Apr 2025 13:35:41"
="Appendix Table 12 - White - 18-20 "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="-0.007",="-0.067",="0.062",="-0.178"
="",="(0.969)",="(0.226)",="(1.117)",="(1.316)"
="Pre-treat DV mean",="14.661",="0.971",="9.639",="3.783"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:41"
="Appendix Table 12 - Black-Hispanic - 18-20 "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.353",="0.191",="-0.125",="-0.115"
="",="(0.836)",="(0.187)",="(1.125)",="(1.147)"
="Pre-treat DV mean",="7.133",="0.248",="2.538",="0.184"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:42"
="Appendix Table 12 - White - 21plus "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.208",="-0.082",="-4.724**",="-4.577**"
="",="(0.360)",="(0.106)",="(2.022)",="(2.232)"
="Pre-treat DV mean",="20.450",="2.667",="19.861",="13.858"
="N",="1020",="1020",="1020",="1020"

="% 22 Apr 2025 13:35:42"
="Appendix Table 12 - Black-Hispanic - 21plus "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.727**",="0.010",="-0.773",="-1.452"
="",="(0.332)",="(0.079)",="(2.260)",="(2.195)"
="Pre-treat DV mean",="9.371",="0.886",="14.537",="9.330"
="N",="1020",="1020",="1020",="1020"

