="% 22 Apr 2025 13:35:41"
="Appendix Table 11"
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_suicide",="rate_drug_suicide",="rate_overdose",="rate_opioid_overdose"
="rml",="0.218",="-0.073",="-4.469**",="-4.350**"
="",="(0.367)",="(0.104)",="(1.928)",="(2.137)"
="rml_black",="0.308",="0.123",="4.129",="2.790"
="",="(0.542)",="(0.155)",="(4.520)",="(4.361)"
="rml_hisp",="0.597*",="0.067",="4.214***",="3.887**"
="",="(0.310)",="(0.120)",="(1.555)",="(1.635)"
="Pre-treat Mean (White)",="20.140",="2.577",="19.353",="13.522"
="Pre-treat Mean (Black)",="10.066",="0.889",="16.862",="10.832"
="Pre-treat Mean (Hispanic)",="8.733",="0.769",="9.525",="4.733"
="N",="3060",="3060",="3060",="3060"

