="%  7 Apr 2025 10:12:08"
="Appendix Table 3 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="RML",="-438.89***",="-456.35***",="-128.37**",="-197.25***"
="",="(120.69)",="(114.36)",="(53.65)",="(63.88)"
="Pre-treat DV mean",="538.74",="538.74",="1258.36",="1258.36"
="N",="900",="900",="900",="900"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

="%  7 Apr 2025 10:12:09"
="Appendix Table 3 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="RML",="-109.55***",="-107.85***",="-30.52",="-32.54"
="",="(26.16)",="(23.77)",="(28.01)",="(20.30)"
="Pre-treat DV mean",="164.45",="164.45",="506.31",="506.31"
="N",="900",="900",="900",="900"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

="%  7 Apr 2025 10:12:11"
="Appendix Table 3 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="Diff. in Coeff. (Black-White)",="-329.34***",="-348.50***",="-97.85**",="-164.71***"
="",="(102.27)",="(95.70)",="(41.45)",="(57.21)"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

="% 22 Apr 2025 13:27:41"
="Appendix Table 3 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="RML",="-438.89***",="-456.35***",="-128.37**",="-197.25***"
="",="(120.69)",="(114.36)",="(53.65)",="(63.88)"
="Pre-treat DV mean",="538.74",="538.74",="1258.36",="1258.36"
="N",="900",="900",="900",="900"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

="% 22 Apr 2025 13:27:42"
="Appendix Table 3 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="RML",="-109.55***",="-107.85***",="-30.52",="-32.54"
="",="(26.16)",="(23.77)",="(28.01)",="(20.30)"
="Pre-treat DV mean",="164.45",="164.45",="506.31",="506.31"
="N",="900",="900",="900",="900"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

="% 22 Apr 2025 13:27:43"
="Appendix Table 3 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="",="Non-Marijuana",=""
="Diff. in Coeff. (Black-White)",="-329.34***",="-348.50***",="-97.85**",="-164.71***"
="",="(102.27)",="(95.70)",="(41.45)",="(57.21)"
="State-specific linear time trends",="Yes",="Yes",="Yes",="Yes"
="Census region-year FE",="No",="Yes",="No",="Yes"

