="%  7 Apr 2025 10:16:23"
="Appendix Table 5 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="RML",="1.61",="-77.20",="-41.27",="21.13"
="",="(25.71)",="(71.03)",="(51.99)",="(138.63)"
="Pre-treat DV mean",="117.32",="162.41",="664.78",="439.99"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 10:16:23"
="Appendix Table 5 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="RML",="-3.07",="-52.17*",="-39.96",="42.25"
="",="(6.27)",="(26.84)",="(40.95)",="(37.34)"
="Pre-treat DV mean",="62.09",="145.86",="701.09",="319.54"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 10:16:24"
="Appendix Table 5 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="Diff. in Coeff. (Black-White)",="4.68",="-25.03",="-1.31",="-21.12"
="",="(20.88)",="(61.88)",="(36.21)",="(117.61)"

="% 22 Apr 2025 13:27:47"
="Appendix Table 5 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="RML",="1.61",="-77.20",="-41.27",="21.13"
="",="(25.71)",="(71.03)",="(51.99)",="(138.63)"
="Pre-treat DV mean",="117.32",="162.41",="664.78",="439.99"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:27:47"
="Appendix Table 5 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="RML",="-3.07",="-52.17*",="-39.96",="42.25"
="",="(6.27)",="(26.84)",="(40.95)",="(37.34)"
="Pre-treat DV mean",="62.09",="145.86",="701.09",="319.54"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:27:47"
="Appendix Table 5 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="Diff. in Coeff. (Black-White)",="4.68",="-25.03",="-1.31",="-21.12"
="",="(20.88)",="(61.88)",="(36.21)",="(117.61)"

