="%  7 Apr 2025 10:19:45"
="Appendix Table 6 - total - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_1899",="rate_total_1899",="rate_total_1899",="rate_total_1899"
="RML",="275.88",="-297.05",="-352.40",="-73.70"
="",="(487.36)",="(460.38)",="(478.86)",="(644.82)"
="Pre-treat DV mean",="10742.33",="10742.33",="10742.33",="10742.33"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 10:19:45"
="Appendix Table 6 - drug - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_drug_1899",="rate_total_drug_1899",="rate_total_drug_1899",="rate_total_drug_1899"
="RML",="-697.77***",="-672.65***",="-693.27***",="-374.43**"
="",="(136.72)",="(117.26)",="(116.26)",="(142.88)"
="Pre-treat DV mean",="1824.68",="1824.68",="1824.68",="1824.68"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 10:19:46"
="Appendix Table 6 - mj - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-498.22***",="-511.52***",="-522.70***",="-561.23***"
="",="(71.65)",="(80.98)",="(80.51)",="(87.99)"
="Pre-treat DV mean",="538.74",="538.74",="538.74",="538.74"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:27:48"
="Appendix Table 6 - total - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_1899",="rate_total_1899",="rate_total_1899",="rate_total_1899"
="RML",="275.88",="-297.05",="-352.40",="-73.70"
="",="(487.36)",="(460.38)",="(478.86)",="(644.82)"
="Pre-treat DV mean",="10742.33",="10742.33",="10742.33",="10742.33"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:27:48"
="Appendix Table 6 - drug - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_drug_1899",="rate_total_drug_1899",="rate_total_drug_1899",="rate_total_drug_1899"
="RML",="-697.77***",="-672.65***",="-693.27***",="-374.43**"
="",="(136.72)",="(117.26)",="(116.26)",="(142.88)"
="Pre-treat DV mean",="1824.68",="1824.68",="1824.68",="1824.68"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:27:48"
="Appendix Table 6 - mj - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-498.22***",="-511.52***",="-522.70***",="-561.23***"
="",="(71.65)",="(80.98)",="(80.51)",="(87.99)"
="Pre-treat DV mean",="538.74",="538.74",="538.74",="538.74"
="N",="900",="900",="900",="900"

